MSE,RMSE,MAE,MAPE,Time
5611.548193,74.910268,24.976843,0.181922,32m35s
5787.396443,76.07494,28.603023,0.204499,30m5s
5606.890894,74.879175,24.311909,0.177883,30m6s
5609.587836,74.897182,24.632053,0.179806,31m7s
5606.297045,74.87521,23.971862,0.175519,32m1s
5628.524013,75.02349,25.29373,0.183955,30m7s
5809.301712,76.218775,29.526602,0.210661,30m3s
5617.122489,74.947465,24.757916,0.180402,30m7s
5641.779773,75.111782,25.97343,0.18825,30m7s
5631.283406,75.041878,25.308382,0.183805,30m8s
