model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
WeightedEnsemble,-0.011256422123939456,-0.005827744935128474,0.0457148551940918,0.02243781089782715,1.3694899082183838,11
TemporalFusionTransformer,-0.011256422123939456,-0.005827744935128474,0.044951677322387695,0.02243781089782715,180.15834760665894,8
DeepAR/T1,-0.012009812640278708,-0.019364349978489057,0.559847354888916,0.6136829853057861,79.79721522331238,6
DeepAR/T2,-0.012605774839848313,-0.014252670365184078,0.5606002807617188,0.5444724559783936,81.47134327888489,7
PatchTST,-0.01636891590433329,-0.023204719668746415,0.05481433868408203,0.03213214874267578,32.727457761764526,9
AutoETS,-0.03165525582762474,-0.04958962448445566,13.695368528366089,13.264827728271484,0.006865501403808594,4
Theta,-0.03222257013756128,-0.04997132964538166,13.566809892654419,13.467469453811646,0.006807565689086914,3
Naive,-0.04022780259506301,-0.044008592856384726,2.2560389041900635,2.351259708404541,0.008824348449707031,1
SeasonalNaive,-0.0495478034437819,-0.04994425730360606,2.194310188293457,2.1499364376068115,0.007454872131347656,2
AutoARIMA,-0.05162665940346213,-0.03673310266438776,9.028288841247559,8.586609125137329,0.01637411117553711,10
RecursiveTabular,-0.06959020192055217,-0.01611795799907459,3.710780143737793,3.918550968170166,29.317244052886963,5
WeightedEnsemble,-0.011256422123939456,-0.005827744935128474,0.04590773582458496,0.02325916290283203,1.3588571548461914,11
TemporalFusionTransformer,-0.011256422123939456,-0.005827744935128474,0.04514360427856445,0.02325916290283203,180.1705458164215,8
DeepAR/T1,-0.012009812640278708,-0.019364349978489057,0.5567822456359863,0.5436716079711914,74.26251578330994,6
DeepAR/T2,-0.012605774839848313,-0.014252670365184078,0.5586686134338379,0.5519623756408691,81.93521690368652,7
PatchTST,-0.016058675850214903,-0.022932051199081968,0.052782535552978516,0.022578716278076172,33.26769256591797,9
AutoETS,-0.03165525582762474,-0.04958962448445566,13.809271335601807,13.437121868133545,0.00616145133972168,4
Theta,-0.03222257013756128,-0.04997132964538166,13.466322660446167,13.238446474075317,0.006181001663208008,3
Naive,-0.04022780259506301,-0.044008592856384726,2.111301898956299,2.1382274627685547,0.006676435470581055,1
SeasonalNaive,-0.0495478034437819,-0.04994425730360606,2.1177937984466553,2.088531255722046,0.006227731704711914,2
AutoARIMA,-0.05162665940346213,-0.03673310266438776,8.913588047027588,8.40917444229126,0.007139682769775391,10
RecursiveTabular,-0.06959020192055217,-0.01611795799907459,3.598546266555786,3.568157196044922,12.727773904800415,5
WeightedEnsemble,-0.011256422123939456,-0.005827744935128474,0.04509425163269043,0.022546768188476562,1.3689868450164795,11
TemporalFusionTransformer,-0.011256422123939456,-0.005827744935128474,0.044297218322753906,0.022546768188476562,180.14231491088867,8
DeepAR/T1,-0.012009812640278708,-0.019364349978489057,0.5595688819885254,0.5509791374206543,78.63624238967896,6
DeepAR/T2,-0.012605774839848313,-0.014252670365184078,0.5765178203582764,0.5472302436828613,83.6939914226532,7
PatchTST,-0.026134733333977457,-0.0252515485369417,0.05245327949523926,0.025586843490600586,33.06786227226257,9
AutoETS,-0.03165525582762474,-0.04958962448445566,13.984775066375732,13.709195852279663,0.006254673004150391,4
Theta,-0.03222257013756128,-0.04997132964538166,13.55255913734436,13.65025520324707,0.00661015510559082,3
Naive,-0.04022780259506301,-0.044008592856384726,2.100884199142456,2.1440796852111816,0.006561756134033203,1
SeasonalNaive,-0.0495478034437819,-0.04994425730360606,2.096262216567993,2.1292221546173096,0.006867408752441406,2
AutoARIMA,-0.05162665940346213,-0.03673310266438776,8.877406358718872,8.39675259590149,0.006452083587646484,10
RecursiveTabular,-0.06959020192055217,-0.01611795799907459,3.583786725997925,3.6777520179748535,12.822228908538818,5
WeightedEnsemble,-0.011256422123939456,-0.005827744935128474,0.04492902755737305,0.02251720428466797,1.365835428237915,11
TemporalFusionTransformer,-0.011256422123939456,-0.005827744935128474,0.04420042037963867,0.02251720428466797,180.16000866889954,8
DeepAR/T1,-0.012009812640278708,-0.019364349978489057,0.5520834922790527,0.5639467239379883,76.18348026275635,6
DeepAR/T2,-0.012605774839848313,-0.014252670365184078,0.5548324584960938,0.5565595626831055,83.64847230911255,7
PatchTST,-0.01597644347467621,-0.02472863160958701,0.051584720611572266,0.02261209487915039,32.75305938720703,9
AutoETS,-0.03165525582762474,-0.04958962448445566,13.90417742729187,13.44560432434082,0.0062525272369384766,4
Theta,-0.03222257013756128,-0.04997132964538166,13.80252194404602,13.638837814331055,0.00710749626159668,3
Naive,-0.04022780259506301,-0.044008592856384726,2.0944015979766846,2.1740167140960693,0.0072672367095947266,1
SeasonalNaive,-0.0495478034437819,-0.04994425730360606,2.136590003967285,2.1148407459259033,0.006623983383178711,2
AutoARIMA,-0.05162665940346213,-0.03673310266438776,8.82679009437561,8.37719440460205,0.011068105697631836,10
RecursiveTabular,-0.06959020192055217,-0.01611795799907459,3.5832326412200928,3.5494346618652344,12.741395235061646,5
WeightedEnsemble,-0.011256422123939456,-0.005827744935128474,0.046723127365112305,0.02281045913696289,1.3595890998840332,11
TemporalFusionTransformer,-0.011256422123939456,-0.005827744935128474,0.045914411544799805,0.02281045913696289,180.1467843055725,8
DeepAR/T1,-0.012009812640278708,-0.019364349978489057,0.5598409175872803,0.5445435047149658,76.35910081863403,6
DeepAR/T2,-0.012605774839848313,-0.014252670365184078,0.5551350116729736,0.5500991344451904,82.66120171546936,7
PatchTST,-0.019758319744592374,-0.022837753718701087,0.054306745529174805,0.022948265075683594,33.49674153327942,9
