,Accuracy,ROC AUC,Precision,F1-score,Time
0,0.6136363636363636,0.8016528925619835,0.5641025641025641,0.7213114754098361,1m7s
1,0.5,0.8698347107438016,0.5,0.6666666666666666,0m46s
2,0.6590909090909091,0.7851239669421487,0.6,0.7368421052631579,1m4s
3,0.6818181818181818,0.6838842975206612,0.6176470588235294,0.75,1m6s
4,0.5,0.878099173553719,0.0,0.0,1m5s
5,0.5,0.7417355371900828,0.5,0.6666666666666666,0m43s
6,0.8636363636363636,0.9462809917355371,0.9444444444444444,0.85,0m57s
7,0.5,0.7809917355371901,0.0,0.0,0m49s
8,0.5909090909090909,0.731404958677686,0.5526315789473685,0.7000000000000001,0m47s
9,0.5,0.7975206611570248,0.0,0.0,0m41s
