Accuracy,ROC AUC,Precision,F1-score,Time
0.8636363744735718,0.8636363744735718,0.807692289352417,0.8749999824083513,183m56s
0.8863636255264282,0.9287190437316896,0.9473684430122375,0.8780487867993019,478m23s
0.6363636255264282,0.7520661354064941,0.59375,0.7037037073012405,1078m12s
0.9545454382896424,0.991735577583313,1.0,0.952380967248324,167m8s
0.9545454382896424,0.9545454978942872,1.0,0.952380967248324,183m12s
0.8636363744735718,0.9442148208618164,0.8333333134651184,0.8695652189687424,150m28s
0.9090909361839294,0.9958677887916564,0.8461538553237915,0.9166666720476416,172m21s
0.75,0.8667354583740234,0.739130437374115,0.7555555465486312,215m16s
0.7954545617103577,0.9266529083251952,0.8095238208770752,0.7906976684871524,310m50s
0.8863636255264282,0.8853304982185364,0.9473684430122375,0.8780487867993019,211m0s
