Accuracy,ROC AUC,Precision,F1-score,Time
0.6666666865348816,0.7083333134651184,1.0,0.5000000111758708,129m57s
0.7291666865348816,0.9088541269302368,0.9230769276618958,0.648648649780658,204m11s
0.4375,0.4470486044883728,0.4666666686534881,0.6086956538640258,304m37s
0.7916666865348816,0.8333333134651184,0.8500000238418579,0.7727272707568706,226m49s
0.6875,0.7769097089767456,0.6363636255264282,0.7368420979983258,314m48s
0.8333333134651184,0.9131944179534912,0.807692289352417,0.839999990081787,217m28s
0.6875,0.7786458134651184,0.7368420958518982,0.6511627746440707,174m52s
0.75,0.7855902910232544,0.800000011920929,0.7272727440211398,191m48s
0.5625,0.6362847685813904,0.5517241358757019,0.6037735918231092,211m28s
0.7083333134651184,0.7881944179534912,0.7272727489471436,0.6956521946450939,237m18s
