Accuracy,ROC AUC,Precision,F1-score,Time
0.911764681339264,0.9117647409439088,0.8500000238418579,0.9189189328513412,217m5s
0.5882353186607361,0.6487889289855957,0.6000000238418579,0.5625000263098627,139m9s
0.8529411554336548,0.9446367025375366,0.8333333134651184,0.8571428499416427,162m47s
0.6176470518112183,0.7647058963775635,1.0,0.3809523821012233,184m31s
0.6176470518112183,0.5294117331504822,0.6111111044883728,0.6285714349941328,235m16s
0.6764705777168274,0.7006921172142029,0.75,0.6206896744500154,65m40s
0.911764681339264,0.9117647409439088,0.8500000238418579,0.9189189328513412,121m10s
0.7941176295280457,0.7941176891326904,1.0,0.7407407602001443,162m32s
0.5,0.5,0.0,1.0,178m13s
0.8235294222831726,0.8148788213729858,0.761904776096344,0.8421052732295937,145m48s
