,Accuracy,ROC AUC,Precision,F1-score,Time
0,0.8529411764705882,0.9792387543252595,0.7727272727272727,0.8717948717948718,0m17s
1,0.9705882352941176,1.0,0.9444444444444444,0.9714285714285714,0m54s
2,0.9411764705882353,0.9965397923875432,1.0,0.9375,0m56s
3,0.6176470588235294,1.0,0.5666666666666667,0.7234042553191489,0m15s
4,0.9117647058823529,0.9930795847750865,0.8888888888888888,0.9142857142857143,0m58s
5,0.9705882352941176,1.0,1.0,0.9696969696969697,0m17s
6,0.5,1.0,0.0,0.0,0m17s
7,0.8235294117647058,1.0,1.0,0.7857142857142858,0m8s
8,0.8235294117647058,0.9792387543252594,0.7391304347826086,0.85,0m29s
9,0.5588235294117647,0.7854671280276817,0.53125,0.6938775510204082,0m19s
